,Date,Company_Name,close
556,07/11/15,Tesla,
557,07/12/15,Tesla,
558,07/13/15,Tesla,262.16
559,07/14/15,Tesla,265.65
560,07/15/15,Tesla,263.14
561,07/16/15,Tesla,266.68
562,07/17/15,Tesla,274.66
563,07/18/15,Tesla,
564,07/19/15,Tesla,
565,07/20/15,Tesla,282.26
566,07/21/15,Tesla,266.77
567,07/22/15,Tesla,267.87
568,07/23/15,Tesla,267.2
569,07/24/15,Tesla,265.41
570,07/25/15,Tesla,
571,07/26/15,Tesla,
572,07/27/15,Tesla,253.01
573,07/28/15,Tesla,264.82
574,07/29/15,Tesla,263.82
575,07/30/15,Tesla,266.79
576,07/31/15,Tesla,266.15
577,08/01/15,Tesla,
578,08/02/15,Tesla,
579,08/03/15,Tesla,259.99
580,08/04/15,Tesla,266.28
581,08/05/15,Tesla,270.13
582,08/06/15,Tesla,246.13
583,08/07/15,Tesla,242.51
584,08/08/15,Tesla,
585,08/09/15,Tesla,
586,08/10/15,Tesla,241.14
587,08/11/15,Tesla,237.37
588,08/12/15,Tesla,238.17
589,08/13/15,Tesla,242.51
590,08/14/15,Tesla,243.15
591,08/15/15,Tesla,
592,08/16/15,Tesla,
593,08/17/15,Tesla,254.99
594,08/18/15,Tesla,260.72
595,08/19/15,Tesla,255.25
596,08/20/15,Tesla,242.18
597,08/21/15,Tesla,230.77
598,08/22/15,Tesla,
599,08/23/15,Tesla,
600,08/24/15,Tesla,218.87
601,08/25/15,Tesla,220.03
602,08/26/15,Tesla,224.84
603,08/27/15,Tesla,242.99
604,08/28/15,Tesla,248.48
605,08/29/15,Tesla,
606,08/30/15,Tesla,
607,08/31/15,Tesla,249.06
608,09/01/15,Tesla,238.63
609,09/02/15,Tesla,247.69
610,09/03/15,Tesla,245.57
611,09/04/15,Tesla,241.93
612,09/05/15,Tesla,
613,09/06/15,Tesla,
614,09/07/15,Tesla,
615,09/08/15,Tesla,248.17
616,09/09/15,Tesla,248.91
617,09/10/15,Tesla,248.48
618,09/11/15,Tesla,250.24
619,09/12/15,Tesla,
620,09/13/15,Tesla,
621,09/14/15,Tesla,253.19
622,09/15/15,Tesla,253.57
623,09/16/15,Tesla,262.25
624,09/17/15,Tesla,262.07
625,09/18/15,Tesla,260.62
626,09/19/15,Tesla,
627,09/20/15,Tesla,
628,09/21/15,Tesla,264.2
629,09/22/15,Tesla,260.94
630,09/23/15,Tesla,261.06
631,09/24/15,Tesla,263.12
632,09/25/15,Tesla,256.91
633,09/26/15,Tesla,
634,09/27/15,Tesla,
635,09/28/15,Tesla,248.43
636,09/29/15,Tesla,246.65
637,09/30/15,Tesla,248.4
638,10/01/15,Tesla,239.88
639,10/02/15,Tesla,247.57
640,10/03/15,Tesla,
641,10/04/15,Tesla,
642,10/05/15,Tesla,246.15
643,10/06/15,Tesla,241.46
644,10/07/15,Tesla,231.96
645,10/08/15,Tesla,226.72
646,10/09/15,Tesla,220.69
647,10/10/15,Tesla,
648,10/11/15,Tesla,
649,10/12/15,Tesla,215.58
650,10/13/15,Tesla,219.25
651,10/14/15,Tesla,216.88
652,10/15/15,Tesla,221.31
653,10/16/15,Tesla,227.01
654,10/17/15,Tesla,
655,10/18/15,Tesla,
656,10/19/15,Tesla,228.1
657,10/20/15,Tesla,213.03
658,10/21/15,Tesla,210.09
659,10/22/15,Tesla,211.72
660,10/23/15,Tesla,209.09
661,10/24/15,Tesla,
662,10/25/15,Tesla,
663,10/26/15,Tesla,215.26
664,10/27/15,Tesla,210.35
665,10/28/15,Tesla,212.96
666,10/29/15,Tesla,211.63
667,10/30/15,Tesla,206.93
668,10/31/15,Tesla,
669,11/01/15,Tesla,
670,11/02/15,Tesla,213.79
671,11/03/15,Tesla,208.35
672,11/04/15,Tesla,231.63
673,11/05/15,Tesla,231.77
674,11/06/15,Tesla,232.36
675,11/07/15,Tesla,
676,11/08/15,Tesla,
677,11/09/15,Tesla,225.33
678,11/10/15,Tesla,216.5
679,11/11/15,Tesla,219.08
680,11/12/15,Tesla,212.94
681,11/13/15,Tesla,207.19
682,11/14/15,Tesla,
683,11/15/15,Tesla,
684,11/16/15,Tesla,214.31
685,11/17/15,Tesla,214.0
686,11/18/15,Tesla,221.07
687,11/19/15,Tesla,221.8
688,11/20/15,Tesla,220.01
689,11/21/15,Tesla,
690,11/22/15,Tesla,
691,11/23/15,Tesla,217.75
692,11/24/15,Tesla,218.25
693,11/25/15,Tesla,229.64
694,11/26/15,Tesla,
695,11/27/15,Tesla,231.61
696,11/28/15,Tesla,
697,11/29/15,Tesla,
698,11/30/15,Tesla,230.26
699,12/01/15,Tesla,237.19
700,12/02/15,Tesla,231.99
701,12/03/15,Tesla,232.71
702,12/04/15,Tesla,230.38
703,12/05/15,Tesla,
704,12/06/15,Tesla,
705,12/07/15,Tesla,231.13
706,12/08/15,Tesla,226.72
707,12/09/15,Tesla,224.52
708,12/10/15,Tesla,227.07
709,12/11/15,Tesla,217.02
710,12/12/15,Tesla,
711,12/13/15,Tesla,
712,12/14/15,Tesla,218.58
713,12/15/15,Tesla,221.09
714,12/16/15,Tesla,234.51
715,12/17/15,Tesla,233.39
716,12/18/15,Tesla,230.46
717,12/19/15,Tesla,
718,12/20/15,Tesla,
719,12/21/15,Tesla,232.56
720,12/22/15,Tesla,229.95
721,12/23/15,Tesla,229.7
722,12/24/15,Tesla,230.57
723,12/25/15,Tesla,
724,12/26/15,Tesla,
725,12/27/15,Tesla,
726,12/28/15,Tesla,228.95
727,12/29/15,Tesla,237.19
728,12/30/15,Tesla,238.09
729,12/31/15,Tesla,240.01
730,01/01/16,Tesla,
731,01/02/16,Tesla,
732,01/03/16,Tesla,
733,01/04/16,Tesla,223.41
734,01/05/16,Tesla,223.43
735,01/06/16,Tesla,219.04
736,01/07/16,Tesla,215.65
737,01/08/16,Tesla,211.0
738,01/09/16,Tesla,
739,01/10/16,Tesla,
740,01/11/16,Tesla,207.85
