Date,Open,High,Low,Close,Adj Close,Volume
2013-12-19,181500.000000,183900.000000,177700.000000,182000.000000,182000.000000,500
2013-12-20,179600.000000,185500.000000,178000.000000,184800.000000,184800.000000,800
2013-12-23,180200.000000,181400.000000,170500.000000,171300.000000,171300.000000,700
2013-12-24,166300.000000,168500.000000,163500.000000,164500.000000,164500.000000,400
2013-12-26,157800.000000,159200.000000,156600.000000,158800.000000,158800.000000,500
2013-12-27,157400.000000,165200.000000,157000.000000,162600.000000,162600.000000,700
2013-12-30,164700.000000,169700.000000,162400.000000,168100.000000,168100.000000,600
2013-12-31,163900.000000,172900.000000,163500.000000,167800.000000,167800.000000,700
2014-01-02,172800.000000,176800.000000,171500.000000,174400.000000,174400.000000,800
2014-01-03,171500.000000,176000.000000,167600.000000,172400.000000,172400.000000,600
2014-01-06,166500.000000,171500.000000,163900.000000,168000.000000,168000.000000,1000
2014-01-07,164400.000000,165000.000000,159500.000000,160500.000000,160500.000000,700
2014-01-08,162100.000000,163700.000000,159100.000000,160800.000000,160800.000000,700
2014-01-09,160000.000000,163500.000000,159000.000000,161500.000000,161500.000000,700
2014-01-10,159000.000000,163000.000000,153300.000000,154100.000000,154100.000000,800
2014-01-13,155300.000000,169900.000000,150200.000000,165200.000000,165200.000000,1300
2014-01-14,161100.000000,161300.000000,151500.000000,151700.000000,151700.000000,1100
2014-01-15,151300.000000,156700.000000,150600.000000,153200.000000,153200.000000,700
2014-01-16,153700.000000,158100.000000,152700.000000,154400.000000,154400.000000,600
2014-01-17,155700.000000,157200.000000,151300.000000,155400.000000,155400.000000,800
2014-01-21,152200.000000,157100.000000,151000.000000,151400.000000,151400.000000,900
2014-01-22,148200.000000,150000.000000,146000.000000,147000.000000,147000.000000,700
2014-01-23,150600.000000,161600.000000,149800.000000,154800.000000,154800.000000,1300
2014-01-24,163225.000000,187900.000000,162650.000000,182025.000000,182025.000000,2800
2014-01-27,180275.000000,211750.000000,173350.000000,186400.000000,186400.000000,3500
2014-01-28,187200.000000,189000.000000,167500.000000,171100.000000,171100.000000,1800
2014-01-29,188200.000000,199650.000000,177925.000000,192975.000000,192975.000000,1700
2014-01-30,181700.000000,191900.000000,176550.000000,187500.000000,187500.000000,1500
2014-01-31,225500.000000,225500.000000,202525.000000,218825.000000,218825.000000,2400
2014-02-03,224350.000000,255250.000000,217500.000000,249850.000000,249850.000000,2700
2014-02-04,241050.000000,250300.000000,232175.000000,238925.000000,238925.000000,1700
2014-02-05,249375.000000,271025.000000,244775.000000,257075.000000,257075.000000,1800
2014-02-06,251750.000000,252000.000000,205825.000000,205825.000000,205825.000000,1600
2014-02-07,195000.000000,197300.000000,172400.000000,180500.000000,180500.000000,2100
2014-02-10,179225.000000,184375.000000,173775.000000,180300.000000,180300.000000,1100
2014-02-11,175125.000000,177975.000000,163425.000000,166750.000000,166750.000000,1600
2014-02-12,163000.000000,169225.000000,159725.000000,159875.000000,159875.000000,1700
2014-02-13,169850.000000,169850.000000,157250.000000,157500.000000,157500.000000,1500
2014-02-14,156750.000000,158875.000000,150250.000000,152525.000000,152525.000000,1200
2014-02-18,150250.000000,157125.000000,148300.000000,148700.000000,148700.000000,1000
2014-02-19,152800.000000,170875.000000,149625.000000,168100.000000,168100.000000,2400
2014-02-20,165000.000000,171900.000000,155400.000000,156825.000000,156825.000000,1600
2014-02-21,152850.000000,161600.000000,150825.000000,160200.000000,160200.000000,1300
2014-02-24,158700.000000,159500.000000,152500.000000,157550.000000,157550.000000,1300
2014-02-25,156850.000000,164200.000000,154000.000000,157250.000000,157250.000000,1800
2014-02-26,156850.000000,166250.000000,155025.000000,161325.000000,161325.000000,1700
2014-02-27,166450.000000,168325.000000,159200.000000,160675.000000,160675.000000,1400
2014-02-28,161100.000000,172250.000000,155050.000000,165250.000000,165250.000000,2200
2014-03-03,185750.000000,192350.000000,176300.000000,183800.000000,183800.000000,3000
2014-03-04,163400.000000,165200.000000,158750.000000,159800.000000,159800.000000,1800
2014-03-05,159625.000000,164275.000000,157125.000000,159375.000000,159375.000000,1200
2014-03-06,158025.000000,162075.000000,156150.000000,157425.000000,157425.000000,1400
2014-03-07,155025.000000,167450.000000,155000.000000,164025.000000,164025.000000,2400
2014-03-10,166650.000000,173500.000000,161850.000000,162600.000000,162600.000000,1700
2014-03-11,162375.000000,169375.000000,158125.000000,167200.000000,167200.000000,1800
2014-03-12,174300.000000,176750.000000,165525.000000,166975.000000,166975.000000,1600
2014-03-13,162625.000000,185650.000000,162000.000000,180500.000000,180500.000000,3000
2014-03-14,188025.000000,197025.000000,180900.000000,190500.000000,190500.000000,3100
2014-03-17,180000.000000,180400.000000,170850.000000,172750.000000,172750.000000,1600
2014-03-18,165000.000000,167000.000000,159075.000000,159375.000000,159375.000000,1700
2014-03-19,160250.000000,176525.000000,156500.000000,165225.000000,165225.000000,2800
2014-03-20,167500.000000,170000.000000,161675.000000,163600.000000,163600.000000,1400
2014-03-21,159250.000000,167175.000000,158125.000000,165525.000000,165525.000000,1900
2014-03-24,164250.000000,174625.000000,162600.000000,166450.000000,166450.000000,2300
2014-03-25,162475.000000,167950.000000,161075.000000,162000.000000,162000.000000,2000
2014-03-26,158900.000000,167750.000000,158525.000000,167550.000000,167550.000000,2300
2014-03-27,166925.000000,171175.000000,163275.000000,163500.000000,163500.000000,2100
2014-03-28,161500.000000,164450.000000,158325.000000,159600.000000,159600.000000,1900
2014-03-31,156900.000000,157100.000000,149550.000000,149775.000000,149775.000000,1800
2014-04-01,149275.000000,149275.000000,139575.000000,139950.000000,139950.000000,1600
2014-04-02,140300.000000,144550.000000,139575.000000,141800.000000,141800.000000,1200
2014-04-03,142025.000000,145425.000000,140925.000000,141225.000000,141225.000000,1400
2014-04-04,136500.000000,150725.000000,136350.000000,147300.000000,147300.000000,2800
2014-04-07,150275.000000,158025.000000,148050.000000,154050.000000,154050.000000,2600
2014-04-08,152500.000000,157875.000000,147925.000000,148100.000000,148100.000000,1600
2014-04-09,144725.000000,148575.000000,140350.000000,140550.000000,140550.000000,1700
2014-04-10,141250.000000,158750.000000,140675.000000,157625.000000,157625.000000,2900
2014-04-11,161775.000000,171850.000000,157025.000000,167500.000000,167500.000000,3300
2014-04-14,161375.000000,175750.000000,160200.000000,164975.000000,164975.000000,2000
2014-04-15,162800.000000,179300.000000,158850.000000,161175.000000,161175.000000,3300
2014-04-16,155200.000000,159750.000000,149175.000000,149625.000000,149625.000000,1800
2014-04-17,150400.000000,152250.000000,144525.000000,145400.000000,145400.000000,1500
2014-04-21,145025.000000,145375.000000,139300.000000,139775.000000,139775.000000,1200
2014-04-22,140750.000000,141800.000000,137300.000000,139000.000000,139000.000000,1200
2014-04-23,140500.000000,142325.000000,139125.000000,140350.000000,140350.000000,1000
2014-04-24,138875.000000,145475.000000,138400.000000,143525.000000,143525.000000,1700
2014-04-25,145600.000000,151300.000000,145000.000000,145900.000000,145900.000000,2200
2014-04-28,143850.000000,149125.000000,139225.000000,139400.000000,139400.000000,2100
2014-04-29,138225.000000,139525.000000,134400.000000,134600.000000,134600.000000,1400
2014-04-30,135750.000000,137425.000000,133000.000000,134750.000000,134750.000000,1400
2014-05-01,135700.000000,136650.000000,132525.000000,134800.000000,134800.000000,1100
2014-05-02,132800.000000,136450.000000,131500.000000,133650.000000,133650.000000,1400
2014-05-05,137300.000000,139000.000000,130300.000000,130375.000000,130375.000000,1400
2014-05-06,131500.000000,133225.000000,128625.000000,132000.000000,132000.000000,1500
2014-05-07,131250.000000,135600.000000,126750.000000,126975.000000,126975.000000,1900
2014-05-08,126925.000000,129150.000000,121850.000000,127600.000000,127600.000000,1800
2014-05-09,126700.000000,130000.000000,121950.000000,121950.000000,121950.000000,1300
2014-05-12,119000.000000,119750.000000,114050.000000,114625.000000,114625.000000,1600
2014-05-13,114100.000000,115750.000000,112950.000000,115225.000000,115225.000000,1200
2014-05-14,116225.000000,117125.000000,111925.000000,114175.000000,114175.000000,1500
2014-05-15,115550.000000,121850.000000,114625.000000,116275.000000,116275.000000,2600
2014-05-16,114575.000000,117350.000000,110925.000000,111250.000000,111250.000000,1800
2014-05-19,112300.000000,112500.000000,108050.000000,108325.000000,108325.000000,1000
2014-05-20,107750.000000,110825.000000,105200.000000,106200.000000,106200.000000,2000
2014-05-21,104500.000000,105125.000000,102150.000000,102975.000000,102975.000000,1600
2014-05-22,103250.000000,104300.000000,101300.000000,102750.000000,102750.000000,1100
2014-05-23,102825.000000,103100.000000,100800.000000,101475.000000,101475.000000,800
2014-05-27,97700.000000,98525.000000,95000.000000,95125.000000,95125.000000,1500
2014-05-28,95350.000000,97450.000000,93900.000000,94500.000000,94500.000000,1500
2014-05-29,93750.000000,95250.000000,92775.000000,93925.000000,93925.000000,1900
2014-05-30,93800.000000,94850.000000,93375.000000,93375.000000,93375.000000,1200
2014-06-02,93625.000000,95475.000000,92175.000000,92450.000000,92450.000000,1200
2014-06-03,93525.000000,94525.000000,92300.000000,93075.000000,93075.000000,1100
2014-06-04,94000.000000,94600.000000,90075.000000,91375.000000,91375.000000,1600
2014-06-05,88800.000000,90550.000000,84000.000000,84500.000000,84500.000000,2800
2014-06-06,80575.000000,80725.000000,75975.000000,76075.000000,76075.000000,3000
2014-06-09,75475.000000,78375.000000,73875.000000,77900.000000,77900.000000,1800
2014-06-10,78800.000000,79700.000000,75100.000000,75300.000000,75300.000000,1900
2014-06-11,78000.000000,80900.000000,76825.000000,78550.000000,78550.000000,2400
2014-06-12,79525.000000,89000.000000,79000.000000,86475.000000,86475.000000,4700
2014-06-13,84850.000000,87750.000000,81500.000000,83250.000000,83250.000000,2500
2014-06-16,83825.000000,85825.000000,81075.000000,82925.000000,82925.000000,2400
2014-06-17,82400.000000,83250.000000,76900.000000,77375.000000,77375.000000,2500
2014-06-18,76600.000000,76975.000000,68800.000000,69050.000000,69050.000000,3100
2014-06-19,67975.000000,70750.000000,66950.000000,69625.000000,69625.000000,2300
2014-06-20,69150.000000,71575.000000,68050.000000,71575.000000,71575.000000,2200
2014-06-23,70725.000000,72225.000000,67550.000000,67950.000000,67950.000000,2900
2014-06-24,69200.000000,74125.000000,67375.000000,72900.000000,72900.000000,3300
2014-06-25,75275.000000,75575.000000,67475.000000,67550.000000,67550.000000,3100
2014-06-26,67400.000000,72750.000000,67300.000000,69100.000000,69100.000000,3000
2014-06-27,70300.000000,71050.000000,67750.000000,67975.000000,67975.000000,1900
2014-06-30,67750.000000,68425.000000,65150.000000,66550.000000,66550.000000,2400
2014-07-01,65375.000000,65975.000000,61800.000000,63275.000000,63275.000000,3200
2014-07-02,62825.000000,62975.000000,60675.000000,61875.000000,61875.000000,2100
2014-07-03,59800.000000,60600.000000,59200.000000,60250.000000,60250.000000,1500
2014-07-07,61175.000000,63000.000000,60800.000000,62625.000000,62625.000000,2400
2014-07-08,63425.000000,67500.000000,63425.000000,64775.000000,64775.000000,4200
2014-07-09,62850.000000,63875.000000,61425.000000,62225.000000,62225.000000,2400
2014-07-10,68825.000000,69225.000000,64625.000000,66625.000000,66625.000000,3500
2014-07-11,66250.000000,67300.000000,64525.000000,65025.000000,65025.000000,2100
2014-07-14,62050.000000,62100.000000,60125.000000,61300.000000,61300.000000,1900
2014-07-15,60325.000000,65550.000000,59900.000000,63450.000000,63450.000000,2800
2014-07-16,59725.000000,62650.000000,59225.000000,60375.000000,60375.000000,3000
