Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,4.670000,4.760000,4.350000,4.440000,4.440000,13179470
2018-09-27,4.360000,4.418000,4.000000,4.090000,4.090000,11328900
2018-09-28,4.450000,5.720000,4.230000,5.350000,5.350000,49238223
2018-10-01,6.880000,8.950000,6.430000,8.950000,8.950000,96100806
2018-10-02,7.860000,8.650000,6.600000,7.300000,7.300000,74627576
2018-10-03,7.010000,8.500000,6.500000,8.110000,8.110000,48187261
2018-10-04,8.660000,9.480000,7.360000,8.550000,8.550000,67101893
2018-10-05,9.000000,9.300000,8.150000,8.470000,8.470000,42739976
2018-10-08,7.860000,8.060000,6.860000,7.390000,7.390000,25284771
2018-10-09,6.850000,6.880000,5.660000,5.730000,5.730000,24595760
2018-10-10,6.600000,6.650000,5.800000,6.020000,6.020000,19758352
2018-10-11,5.530000,5.970000,5.480000,5.940000,5.940000,9456710
2018-10-12,6.170000,6.490000,6.020000,6.190000,6.190000,11184290
2018-10-15,6.230000,7.480000,6.110000,7.390000,7.390000,25185629
2018-10-16,7.750000,7.750000,6.800000,6.990000,6.990000,17343558
2018-10-17,6.500000,6.950000,6.200000,6.380000,6.380000,9135561
2018-10-18,6.410000,6.900000,6.220000,6.560000,6.560000,6573330
2018-10-19,6.580000,6.650000,5.770000,5.840000,5.840000,9326075
2018-10-22,5.730000,5.740000,4.560000,4.890000,4.890000,10939613
